record _id__id_enregistrement,year__année,month__mois,day__jours,age__âge,forklength__longeur_fourche
358,1993,6,12,2,30.5
359,1993,6,12,2,31.5
360,1993,6,12,3,39.1
361,1993,6,14,2,23.3
362,1993,6,14,2,23.7
363,1993,6,14,2,23.9
364,1993,6,14,2,24.3
365,1993,6,14,2,24.7
366,1993,6,14,2,24.9
367,1993,6,14,2,25.1
368,1993,6,14,2,25.2
369,1993,6,14,2,26.2
370,1993,6,14,2,26.7
371,1993,6,14,2,26.8
372,1993,6,14,2,27.4
373,1993,6,14,2,28
374,1993,6,14,2,28.1
375,1993,6,14,2,28.5
376,1993,6,14,2,30.8
377,1993,6,14,2,32.3
378,1993,6,14,2,32.8
379,1993,6,14,2,33
380,1993,6,14,3,35.8
381,1993,6,14,3,36.8
382,1993,6,14,3,37
383,1993,6,14,3,37.8
384,1993,6,15,2,28.5
385,1993,6,15,3,37
386,1993,6,15,3,37.1
387,1993,6,15,3,37.9
388,1993,6,15,3,37.9
389,1993,6,15,3,37.9
390,1993,6,22,3,44.3
391,1993,6,22,5,54.8
392,1993,6,22,6,56.4
393,1993,6,22,6,56.8
394,1993,6,22,9,57.2
395,1993,6,22,9,59.7
396,1993,6,22,6,61.9
397,1993,6,22,6,62.8
398,1993,6,22,6,63.9
399,1993,6,22,11,64
400,1993,6,22,12,82.7
401,1994,6,14,3,33
402,1994,6,14,3,33
403,1994,6,14,3,33.8
404,1994,6,14,3,35
405,1994,6,15,3,34.9
406,1994,6,17,2,22.5
407,1994,6,17,3,32
408,1994,6,17,3,34.3
409,1994,6,18,3,34.3
410,1994,6,22,3,34.2
411,1994,6,22,3,34.8
412,1994,6,25,3,34.9
413,1994,6,27,3,32
414,1994,6,27,2,32.1
415,1994,6,28,2,27
416,1994,6,28,4,44.9
417,1994,6,29,2,20.3
418,1994,6,29,3,30.6
419,1994,6,29,3,35.8
420,1994,6,29,3,40.1
421,1994,6,30,3,30.7
422,1994,6,30,3,32
423,1995,5,23,1,14.6
424,1995,5,23,1,14.9
425,1995,5,23,1,15.3
426,1995,5,23,1,15.4
427,1995,5,23,1,15.4
428,1995,5,23,1,15.5
429,1995,5,23,1,15.7
430,1995,5,23,1,16.1
431,1995,5,23,3,32.6
432,1995,5,23,4,40.1
433,1995,5,23,4,42.5
434,1995,5,23,4,44.6
435,1995,5,23,4,46.7
436,1995,5,23,4,52.3
437,1995,5,23,4,52.8
438,1995,5,23,6,56
439,1995,5,24,3,33.7
440,1995,5,24,4,44
441,1995,5,24,4,51.7
442,1995,5,24,4,52.4
443,1995,5,24,5,52.7
444,1995,5,24,5,55.5
445,1995,5,24,5,57.5
446,1995,5,24,6,64
447,1995,5,25,3,33.8
448,1995,5,25,3,35.2
449,1995,5,25,3,35.3
450,1995,5,25,3,36
451,1995,5,25,3,36.7
452,1995,5,25,3,38.4
453,1995,5,25,4,39.5
454,1995,5,25,4,40.7
455,1995,5,25,4,41.5
456,1995,5,25,4,42
457,1995,5,25,4,42.5
458,1995,5,25,4,43.3
459,1995,5,25,4,44
460,1995,5,25,4,44.7
461,1995,5,25,4,44.7
462,1995,5,25,5,51.2
463,1995,5,25,6,62
464,1995,5,26,3,34
465,1995,5,26,3,34.2
466,1995,5,26,3,34.4
467,1995,5,26,3,34.7
468,1995,5,26,3,35.1
469,1995,5,26,3,35.2
470,1995,5,26,3,35.3
471,1995,5,26,3,35.3
472,1995,5,26,3,35.4
473,1995,5,26,3,35.7
474,1995,5,26,3,36
475,1995,5,26,3,36
476,1995,5,26,3,36
477,1995,5,26,3,36
478,1995,5,26,3,36.1
479,1995,5,26,3,36.2
480,1995,5,26,3,36.4
481,1995,5,26,3,36.4
482,1995,5,26,3,36.8
483,1995,5,26,3,36.8
484,1995,5,26,3,37.6
485,1995,5,26,4,38.6
486,1995,5,26,4,40.9
487,1995,5,26,4,40.9
488,1995,5,26,4,41.2
489,1995,5,26,4,41.3
490,1995,5,26,4,41.5
491,1995,5,26,4,41.5
492,1995,5,26,4,41.7
493,1995,5,26,4,41.8
494,1995,5,26,4,42.1
495,1995,5,26,4,42.4
496,1995,5,26,4,42.6
497,1995,5,26,4,42.7
498,1995,5,26,4,42.7
499,1995,5,26,4,42.7
500,1995,5,26,4,42.8
501,1995,5,26,4,42.8
502,1995,5,26,4,42.9
503,1995,5,26,4,43.3
504,1995,5,26,4,43.6
505,1995,5,26,4,43.8
506,1995,5,26,4,44
507,1995,5,26,4,44.1
508,1995,5,26,4,44.6
509,1995,5,26,5,45.2
510,1995,5,26,4,45.3
511,1995,5,26,4,45.9
512,1995,5,26,4,46.6
513,1995,5,26,4,46.9
514,1995,5,26,4,46.9
515,1995,5,26,4,47.1
516,1995,5,26,4,47.9
517,1995,5,26,4,48.4
518,1995,5,26,4,48.6
519,1995,5,26,5,49.1
520,1995,5,26,5,49.2
521,1995,5,26,4,51
522,1995,5,26,5,53
523,1995,5,26,5,53.4
524,1995,5,26,5,53.5
525,1995,5,26,5,54.1
526,1995,5,26,4,54.8
527,1995,5,26,5,55.3
528,1995,5,26,5,55.4
529,1995,5,26,5,55.5
530,1995,5,26,5,58
531,1995,5,26,5,58.7
532,1995,5,26,6,59
533,1995,5,26,5,59.2
534,1995,5,27,3,33.9
535,1995,5,27,3,34.3
536,1995,5,27,3,34.3
537,1995,5,27,3,35
538,1995,5,27,3,35.2
539,1995,5,27,3,35.4
540,1995,5,27,3,35.5
541,1995,5,27,3,35.5
542,1995,5,27,3,35.6
543,1995,5,27,3,36.3
544,1995,5,27,3,36.7
545,1995,5,27,3,37.9
546,1995,5,27,4,39.5
547,1995,5,27,4,39.7
548,1995,5,27,4,39.9
549,1995,5,27,4,41
550,1995,5,27,4,41.1
551,1995,5,27,4,41.5
552,1995,5,27,4,42.1
553,1995,5,27,4,42.2
554,1995,5,27,4,42.3
555,1995,5,27,4,42.6
556,1995,5,27,4,42.7
557,1995,5,27,4,42.8
558,1995,5,27,4,43.1
559,1995,5,27,4,43.4
560,1995,5,27,4,43.7
561,1995,5,27,4,43.7
562,1995,5,27,4,43.8
563,1995,5,27,4,44.2
564,1995,5,27,4,44.2
565,1995,5,27,4,44.4
566,1995,5,27,4,44.9
567,1995,5,27,4,45.5
568,1995,5,27,4,46.8
569,1995,5,27,5,46.8
570,1995,5,27,4,47.6
571,1995,5,27,4,48.3
572,1995,5,27,4,49.2
573,1995,5,27,5,50.6
574,1995,5,27,5,51.8
575,1995,5,27,5,55.5
576,1995,5,27,5,57
577,1995,5,28,3,34.5
578,1995,5,28,4,35.1
579,1995,5,28,3,35.5
580,1995,5,28,3,35.6
581,1995,5,28,3,35.6
582,1995,5,28,3,35.7
583,1995,5,28,3,35.8
584,1995,5,28,4,36.7
585,1995,5,28,4,38.9
586,1995,5,28,4,41.1
587,1995,5,28,4,41.1
588,1995,5,28,4,41.4
589,1995,5,28,4,41.5
590,1995,5,28,4,41.5
591,1995,5,28,4,41.5
592,1995,5,28,4,41.8
593,1995,5,28,4,41.8
594,1995,5,28,4,41.9
595,1995,5,28,4,41.9
596,1995,5,28,4,42.8
597,1995,5,28,4,43
598,1995,5,28,4,43.1
599,1995,5,28,4,43.2
600,1995,5,28,4,43.2
601,1995,5,28,4,43.3
602,1995,5,28,4,43.3
603,1995,5,28,4,44.9
604,1995,5,28,4,45
605,1995,5,28,4,45
606,1995,5,28,4,45.1
607,1995,5,28,4,45.3
608,1995,5,28,4,45.8
609,1995,5,28,4,45.8
610,1995,5,28,4,45.9
611,1995,5,28,4,46.2
612,1995,5,28,4,47
613,1995,5,28,4,47.2
614,1995,5,28,4,47.3
615,1995,5,28,5,47.4
616,1995,5,28,4,47.5
617,1995,5,28,5,47.5
618,1995,5,28,4,47.5
619,1995,5,28,5,47.8
620,1995,5,28,4,47.8
621,1995,5,28,5,47.9
622,1995,5,28,4,48
623,1995,5,28,5,48
624,1995,5,28,4,48.7
625,1995,5,28,4,48.7
626,1995,5,28,5,48.8
627,1995,5,28,4,48.9
628,1995,5,28,4,49
629,1995,5,28,4,49
630,1995,5,28,4,49
631,1995,5,28,4,49.3
632,1995,5,28,4,49.4
633,1995,5,28,5,49.7
634,1995,5,28,4,49.7
635,1995,5,28,4,49.9
636,1995,5,28,4,49.9
637,1995,5,28,6,50.1
638,1995,5,28,4,50.2
639,1995,5,28,5,50.5
640,1995,5,28,4,50.6
641,1995,5,28,5,50.7
642,1995,5,28,5,50.7
643,1995,5,28,5,50.7
644,1995,5,28,4,50.7
645,1995,5,28,4,50.7
646,1995,5,28,4,51
647,1995,5,28,5,51.2
648,1995,5,28,5,51.2
649,1995,5,28,5,51.2
650,1995,5,28,5,51.3
651,1995,5,28,5,51.3
652,1995,5,28,5,51.3
653,1995,5,28,4,51.5
654,1995,5,28,5,51.7
655,1995,5,28,5,51.8
656,1995,5,28,5,51.9
657,1995,5,28,4,52
658,1995,5,28,5,52.3
659,1995,5,28,4,52.6
660,1995,5,28,5,53.1
661,1995,5,28,5,53.2
662,1995,5,28,5,53.5
663,1995,5,28,5,53.7
664,1995,5,28,5,53.8
665,1995,5,28,5,54
666,1995,5,28,5,54
667,1995,5,28,6,54.2
668,1995,5,28,5,54.5
669,1995,5,28,5,54.9
670,1995,5,28,5,56
671,1995,5,28,6,56.2
672,1995,5,28,5,56.2
673,1995,5,28,6,56.6
674,1995,5,28,6,56.7
675,1995,5,28,6,57.1
676,1995,5,28,5,58.3
677,1995,5,28,6,59
678,1995,5,28,6,59.3
679,1995,5,28,6,60
680,1995,5,28,7,65.1
681,1995,5,28,12,81.7
682,1995,5,29,4,39.9
683,1995,5,29,4,42.8
684,1995,5,29,4,45.3
685,1995,5,30,3,35.8
686,1995,5,30,4,41.4
687,1995,5,30,4,42.1
688,1995,5,30,4,42.2
689,1995,5,30,4,43.1
690,1995,5,30,4,43.8
691,1995,5,30,4,44.3
692,1995,5,30,4,45.6
693,1995,5,30,4,45.8
694,1995,5,30,4,46.3
695,1995,5,30,4,46.5
696,1995,5,30,4,47
697,1995,5,30,4,47.6
698,1995,5,30,4,47.8
699,1995,5,30,4,48
700,1995,5,30,5,48.4
701,1995,5,30,4,49.6
702,1995,5,30,4,49.8
703,1995,5,30,5,49.8
704,1995,5,30,5,50.2
705,1995,5,30,4,50.3
706,1995,5,30,4,50.7
707,1995,5,30,4,50.9
708,1995,5,30,4,51.5
709,1995,5,30,5,51.5
